GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1282191326,20260105,202601,2026,2026.0137,BEN,BENIN,BEN,,,,,,,,JORELI,HASSAN,JOR,,,,,ELI,,,1,010,010,01,1,0.0,3,1,3,3.125,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260105001500,https://kawowo.com/2026/01/05/egypt-vs-benin-the-pharaohs-quarter-final-bid-faces-squirrels-test/
1282191579,20260105,202601,2026,2026.0137,EGY,EGYPT,EGY,,,,,,,,BEN,BENIN,BEN,,,,,,,,0,040,040,04,1,1.0,3,1,3,3.125,1,Egypt,EG,EG,,27.0,30.0,EG,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260105001500,https://kawowo.com/2026/01/05/egypt-vs-benin-the-pharaohs-quarter-final-bid-faces-squirrels-test/
1282240864,20260105,202601,2026,2026.0137,,,,,,,,,,,GOV,MINIST,,,,,,GOV,,,1,084,084,08,2,7.0,10,1,10,0.36764705882353,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260105084500,https://www.alwihdainfo.com/Benin-Bavure-policiere-a-Parakou-le-Directeur-Departemental-de-la-Police-limoge_a147203.html
1282252858,20260105,202601,2026,2026.0137,,,,,,,,,,,PTY,POLITICIAN,,,,,,,,,1,042,042,04,1,1.9,6,1,6,-0.68259385665529,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260105104500,https://www.myjoyonline.com/presidential-term-changes-must-be-decided-by-the-people-not-politicians-baffour-awuah/
1282191323,20260105,202601,2026,2026.0137,BEN,BENIN,BEN,,,,,,,,EGY,EGYPT,EGY,,,,,,,,0,040,040,04,1,1.0,3,1,3,3.125,1,Benin,BN,BN,,9.5,2.25,BN,1,Egypt,EG,EG,,27.0,30.0,EG,1,Benin,BN,BN,,9.5,2.25,BN,20260105001500,https://kawowo.com/2026/01/05/egypt-vs-benin-the-pharaohs-quarter-final-bid-faces-squirrels-test/
1282191324,20260105,202601,2026,2026.0137,BEN,BENIN,BEN,,,,,,,,EGY,EGYPT,EGY,,,,,,,,0,040,040,04,1,1.0,1,1,1,3.125,1,Egypt,EG,EG,,27.0,30.0,EG,1,Egypt,EG,EG,,27.0,30.0,EG,1,Benin,BN,BN,,9.5,2.25,BN,20260105001500,https://kawowo.com/2026/01/05/egypt-vs-benin-the-pharaohs-quarter-final-bid-faces-squirrels-test/
1282191580,20260105,202601,2026,2026.0137,EGY,EGYPT,EGY,,,,,,,,BEN,BENIN,BEN,,,,,,,,0,040,040,04,1,1.0,1,1,1,3.125,1,Egypt,EG,EG,,27.0,30.0,EG,1,Egypt,EG,EG,,27.0,30.0,EG,1,Benin,BN,BN,,9.5,2.25,BN,20260105001500,https://kawowo.com/2026/01/05/egypt-vs-benin-the-pharaohs-quarter-final-bid-faces-squirrels-test/
1282254067,20260105,202601,2026,2026.0137,BEN,BENIN,BEN,,,,,,,,GOV,EMBASSY,,,,,,GOV,,,0,161,161,16,4,-4.0,10,1,10,-2.2508038585209,1,Benin,BN,BN,,9.5,2.25,BN,4,"Niamey, Niamey, Niger",NG,NG08,22581,13.5167,2.11667,-1084956,1,Benin,BN,BN,,9.5,2.25,BN,20260105103000,https://fr.allafrica.com/stories/202601050114.html
1282254068,20260105,202601,2026,2026.0137,BEN,BENIN,BEN,,,,,,,,GOV,EMBASSY,,,,,,GOV,,,0,172,172,17,4,-5.0,10,1,10,-2.2508038585209,1,Benin,BN,BN,,9.5,2.25,BN,4,"Niamey, Niamey, Niger",NG,NG08,22581,13.5167,2.11667,-1084956,1,Benin,BN,BN,,9.5,2.25,BN,20260105103000,https://fr.allafrica.com/stories/202601050114.html
1286864992,20260131,202601,2026,2026.0849,COP,PRISON,,,,,,COP,,,,,,,,,,,,,1,173,173,17,4,-5.0,10,1,10,-7.07547169811321,4,"Misserete, Benin (general), Benin",BN,BN00,5918,6.55872,2.59063,-1335062,0,,,,,,,,4,"Misserete, Benin (general), Benin",BN,BN00,5918,6.55872,2.59063,-1335062,20260131174500,https://lanouvelletribune.info/2026/01/benin-il-vend-un-terrain-deux-fois-et-prend-24-mois-ferme/
